Component,ISIN,Trading Location,Issuer Country
ALTRI SGPS,PTALT0AE0002,Euronext Lisbon,Portugal
B.COM.PORTUGUES,PTBCP0AM0015,Euronext Lisbon,Portugal
CORTICEIRA AMORIM,PTCOR0AE0006,Euronext Lisbon,Portugal
CTT CORREIOS PORT,PTCTT0AM0001,Euronext Lisbon,Portugal
EDP,PTEDP0AM0009,Euronext Lisbon,Portugal
EDP RENOVAVEIS,ES0127797019,Euronext Lisbon,Spain
GALP ENERGIA-NOM,PTGAL0AM0009,Euronext Lisbon,Portugal
"IBERSOL,SGPS",PTIBS0AM0008,Euronext Lisbon,Portugal
"J.MARTINS,SGPS",PTJMT0AE0001,Euronext Lisbon,Portugal
MOTA ENGIL,PTMEN0AE0005,Euronext Lisbon,Portugal
"NOS, SGPS",PTZON0AM0006,Euronext Lisbon,Portugal
"NOVABASE,SGPS",PTNBA0AM0006,Euronext Lisbon,Portugal
PHAROL,PTPTC0AM0009,Euronext Lisbon,Portugal
RAMADA,PTFRV0AE0004,Euronext Lisbon,Portugal
REN,PTREL0AM0008,Euronext Lisbon,Portugal
SEMAPA,PTSEM0AM0004,Euronext Lisbon,Portugal
SONAE,PTSON0AM0001,Euronext Lisbon,Portugal
THE NAVIGATOR COMP,PTPTI0AM0006,Euronext Lisbon,Portugal
